HEAD,HANDL,HANDR
-0.04137726;1.724551;-0.07898037;0.007057177;-0.05775862;0.02032893;0.9980986,-0.3186182;0.8147717;0.08303104;0.1719699;0.327186;0.5129108;0.7747891,0.1249892;0.8549369;0.2387492;0.2033065;-0.3882553;-0.5792053;0.6873468
-0.04158411;1.724688;-0.07860852;0.007606279;-0.05797106;0.02028994;0.9980831,-0.3186481;0.8147587;0.08311009;0.1719533;0.3271856;0.5129164;0.7747892,0.1249255;0.8573843;0.2453999;0.1972461;-0.3919079;-0.5765414;0.6892766
-0.04183603;1.724849;-0.07826599;0.008227914;-0.05806366;0.02020081;0.9980746,-0.3187144;0.8147526;0.08323486;0.1719391;0.327185;0.5129179;0.7747917,0.1248434;0.8583784;0.248173;0.1949296;-0.3929237;-0.5757804;0.6899931
-0.04213372;1.725041;-0.07793678;0.008953922;-0.05803101;0.02022543;0.9980697,-0.3187953;0.8147545;0.0833689;0.1719255;0.3271852;0.5129169;0.7747954,0.124963;0.8640742;0.262362;0.1813798;-0.3959319;-0.573072;0.6942103
-0.04249633;1.725284;-0.07759211;0.00984071;-0.05790798;0.0203137;0.9980667,-0.3188527;0.8147592;0.08347911;0.1719151;0.3271864;0.5129158;0.7747979,0.124875;0.8649673;0.264352;0.1752308;-0.3962499;-0.5724318;0.6961337
-0.04293547;1.72561;-0.07724454;0.01081154;-0.05770567;0.02052061;0.9980642,-0.318953;0.8147711;0.08369744;0.1719002;0.3271894;0.5129119;0.7748024,0.1248933;0.8673028;0.269729;0.1650285;-0.3961004;-0.5716804;0.6993223
-0.04338402;1.725928;-0.07689557;0.01179872;-0.05752807;0.02076251;0.9980583,-0.319077;0.8147888;0.08398327;0.1718843;0.3271955;0.5129084;0.7748057,0.1255429;0.8716848;0.2802564;0.1535806;-0.3954932;-0.5708036;0.7029803
-0.04386077;1.726269;-0.07650807;0.01273074;-0.05742798;0.0210867;0.9980457,-0.3191691;0.8148039;0.0842011;0.1718751;0.3272012;0.5129033;0.7748088,0.1268357;0.8765597;0.2909775;0.1403864;-0.394587;-0.5695432;0.7072576
-0.0443828;1.726603;-0.07608078;0.01371827;-0.05740447;0.02149469;0.9980254,-0.3204044;0.81484;0.0874581;0.1718519;0.3272226;0.5128909;0.774813,0.1287464;0.8821256;0.3027031;0.1252414;-0.3931406;-0.568036;0.7121028
-0.0451998;1.726908;-0.07578131;0.01483187;-0.05733879;0.02182074;0.9980061,-0.3206183;0.8148682;0.08798006;0.1718353;0.327243;0.5128802;0.7748151,0.130305;0.8860446;0.310692;0.1144166;-0.3917874;-0.5669726;0.7155094
-0.04663257;1.727494;-0.07509068;0.01787103;-0.05739254;0.02284621;0.9979303,-0.3212285;0.8150501;0.08937468;0.1717164;0.3273956;0.512836;0.7748063,0.1354557;0.8991062;0.3349978;0.07894123;-0.3864447;-0.5639496;0.7255272
-0.04736338;1.727855;-0.07456718;0.01989678;-0.05762133;0.0235465;0.9978625,-0.3214091;0.815168;0.08979288;0.1716389;0.3274849;0.5128254;0.7747928,0.1381333;0.9062014;0.3470898;0.06035236;-0.3842919;-0.5623325;0.7296983
-0.04802454;1.728088;-0.07408061;0.02198863;-0.05788179;0.02426134;0.9977863,-0.3215966;0.8154074;0.09037508;0.1714691;0.3276437;0.5128387;0.7747543,0.1397713;0.9114178;0.3557193;0.04784479;-0.3836072;-0.5609792;0.7320237
-0.04869843;1.728253;-0.07367059;0.02412495;-0.05807032;0.02496768;0.9977086,-0.3215503;0.8154616;0.0904287;0.1712213;0.3278159;0.512899;0.7746964,0.1421294;0.9204632;0.3702371;0.02912039;-0.3840922;-0.5583221;0.73478
-0.04933729;1.728419;-0.07327519;0.02618646;-0.05827333;0.02554245;0.9976302,-0.3217039;0.8156555;0.09086259;0.1708714;0.3279653;0.5129754;0.77466,0.1444099;0.9309374;0.3863147;0.01040109;-0.3863319;-0.5548464;0.7367395
-0.05123545;1.729189;-0.07205358;0.03066802;-0.05854879;0.02618201;0.9974698,-0.3225166;0.8162055;0.09149949;0.1699725;0.3280432;0.5131845;0.7746862,0.1470263;0.9515847;0.4157186;-0.0210475;-0.3934776;-0.547377;0.7383162
-0.05204762;1.729411;-0.07158366;0.03283702;-0.05875224;0.02647081;0.9973812,-0.3229485;0.8166413;0.09197697;0.1690668;0.3279645;0.5134195;0.774762,0.147676;0.9665334;0.4330345;-0.03924631;-0.399516;-0.542289;0.738085
-0.05283779;1.729631;-0.07106668;0.03518237;-0.05903282;0.02705484;0.997269,-0.3232761;0.8169452;0.09223646;0.1677327;0.3277824;0.5137942;0.7748805,0.1490222;0.9883127;0.4429291;-0.05687598;-0.406908;-0.5368953;0.736841
-0.05365628;1.729839;-0.07046771;0.03746839;-0.05919563;0.02759221;0.9971613,-0.3235656;0.8171297;0.09235881;0.1665922;0.3275955;0.5141363;0.7749788,0.1493846;1.003106;0.4486559;-0.06824876;-0.4126005;-0.5330474;0.7355022
-0.05545518;1.730294;-0.06939752;0.04280105;-0.05936011;0.02916093;0.9968922,-0.324769;0.8176563;0.09279436;0.1625423;0.3267307;0.51546;0.7753245,0.1267468;1.075493;0.437078;-0.1053152;-0.4371365;-0.5193015;0.7267369
-0.05639476;1.730526;-0.06894606;0.0455637;-0.05927991;0.02982497;0.9967549,-0.3254525;0.8179203;0.09299015;0.1603241;0.3260129;0.5162764;0.7755453,0.1109381;1.114782;0.4232256;-0.1202703;-0.4488812;-0.5145898;0.7205818
-0.05736878;1.730669;-0.06853823;0.04826337;-0.059178;0.03040503;0.9966164,-0.3261853;0.8181801;0.09313564;0.1581144;0.3250793;0.5171769;0.7757907,0.102938;1.134391;0.4139917;-0.1302729;-0.4568424;-0.5120642;0.7156216
-0.05837549;1.730738;-0.06813893;0.05068966;-0.05908766;0.0308649;0.9964871,-0.3270474;0.8184253;0.09318337;0.1558062;0.3239736;0.5182195;0.7760246,0.09245041;1.157823;0.402815;-0.1467405;-0.4693792;-0.5085408;0.7067791
-0.06041171;1.730891;-0.06729786;0.05517058;-0.05923804;0.03145818;0.9962216,-0.3283868;0.8187971;0.09323189;0.1518259;0.3220734;0.5202066;0.7762749,0.07594806;1.196471;0.3811428;-0.1756335;-0.4895288;-0.5043846;0.6892828
-0.06243384;1.73088;-0.06635521;0.05930295;-0.05923089;0.03184399;0.9959723,-0.3285016;0.8190056;0.0933831;0.1475818;0.3199704;0.522388;0.7764981,0.06753356;1.227438;0.3507749;-0.2108965;-0.512486;-0.5028523;0.6633403
-0.06351103;1.730874;-0.06591039;0.06113503;-0.05918129;0.0322118;0.9958526,-0.3286719;0.81912;0.09346163;0.1448433;0.3185371;0.523737;0.7766944,0.06268908;1.238854;0.3573128;-0.2267973;-0.5230512;-0.5036472;0.6490916
-0.06467795;1.730938;-0.06550399;0.06296883;-0.05906123;0.03277859;0.995727,-0.3288585;0.8192314;0.09352855;0.1419578;0.3169615;0.5249826;0.7770307,0.05822744;1.253681;0.3632731;-0.2407523;-0.5325468;-0.5051959;0.6349877
-0.06587464;1.730826;-0.06514938;0.0647721;-0.05907151;0.03332566;0.9955926,-0.3290459;0.8193407;0.09359635;0.1389563;0.3152272;0.5261412;0.777495,0.05270964;1.268551;0.3688784;-0.2535627;-0.5410389;-0.5069767;0.6212548
-0.06710372;1.730611;-0.06482281;0.06641265;-0.05923909;0.03383765;0.9954573,-0.329717;0.8194351;0.09354055;0.1359105;0.3133715;0.5272955;0.7780014,0.04815933;1.275811;0.3742621;-0.2614053;-0.5459625;-0.5081666;0.6126655
-0.06835136;1.73049;-0.06445005;0.06769574;-0.05946805;0.03422838;0.9953438,-0.3306638;0.8193853;0.09360693;0.1329785;0.3114924;0.5284024;0.7785115,0.04208773;1.288724;0.3804677;-0.2719601;-0.5521639;-0.5098705;0.6009866
-0.06952539;1.730489;-0.06404793;0.06888079;-0.05976127;0.03441537;0.9952385,-0.3314178;0.8194441;0.09370258;0.1310781;0.3101906;0.5291433;0.7788503,0.03597258;1.301046;0.3864749;-0.2811446;-0.5573823;-0.5114854;0.590479
