HEAD,HANDL,HANDR
0.05061472;1.719177;0.0686519;0.2466978;0.08990967;-0.02843554;0.9644936,-0.03223786;1.138873;0.407593;-0.2794588;0.5047433;0.6286358;0.5214921,0.2964248;0.8998694;0.1507343;-0.0359121;-0.06239751;-0.6279233;0.7749383
0.0550552;1.719003;0.06983696;0.247609;0.08667064;-0.02874415;0.9645475,-0.02672366;1.14183;0.4138339;-0.2869076;0.5026951;0.6295007;0.518373,0.3013235;0.8997988;0.1520038;-0.03372942;-0.06576972;-0.6278195;0.7748415
0.05970779;1.718786;0.0711585;0.2484604;0.08346792;-0.02910729;0.9646001,-0.02386848;1.1434;0.4171552;-0.2904662;0.5020105;0.6303217;0.5160518,0.3062529;0.8997403;0.1534502;-0.03091413;-0.06933153;-0.6280755;0.7744408
0.06437358;1.718506;0.0725321;0.2491482;0.08020292;-0.02948839;0.9646881,-0.01954061;1.145927;0.4217587;-0.2954997;0.5015758;0.6314143;0.5122671,0.3094351;0.8996668;0.1543491;-0.02879629;-0.07165323;-0.6284558;0.7740026
0.06868665;1.718214;0.07381734;0.2495876;0.07713656;-0.03002384;0.964808,-0.0152017;1.148265;0.4264589;-0.3012512;0.5014805;0.6317424;0.5085927,0.3112705;0.8996393;0.1548707;-0.02757561;-0.07294346;-0.6287147;0.7737162
0.07282667;1.717989;0.07508565;0.2501093;0.07422999;-0.03067555;0.9648805,-0.01107151;1.150331;0.4308419;-0.307007;0.501341;0.6312226;0.5059267,0.3191847;0.8994544;0.1571995;-0.02129127;-0.0789322;-0.6301358;0.7721693
0.07692633;1.717776;0.07634562;0.2506101;0.07132562;-0.03127862;0.9649502,-0.008124832;1.152376;0.4336602;-0.3108456;0.5010639;0.6305468;0.5046986,0.3192654;0.8994623;0.1572461;-0.02122222;-0.07900248;-0.6301545;0.7721487
0.08099009;1.717548;0.07786483;0.2510398;0.06855661;-0.03181715;0.9650216,-0.003981901;1.154802;0.4379192;-0.3156357;0.5004112;0.6291525;0.5041131,0.3259274;0.8993056;0.1595187;-0.01464498;-0.08444197;-0.6314154;0.7706943
0.08537863;1.717413;0.07941051;0.2515211;0.06581981;-0.03230055;0.9650708,-0.001077361;1.156467;0.4409118;-0.3183542;0.4997901;0.6279848;0.5044755,0.3305443;0.8991834;0.161374;-0.01061194;-0.08728217;-0.632054;0.7699201
0.08937104;1.717239;0.08067425;0.2520379;0.06314238;-0.0326845;0.9651019,0.004536927;1.159709;0.446724;-0.3218904;0.4984767;0.6255074;0.5066045,0.3324377;0.8990877;0.1625081;-0.00804323;-0.08888894;-0.6323555;0.7695199
0.09281897;1.717107;0.08178703;0.2525494;0.06082394;-0.03277385;0.9651141,0.00874247;1.162879;0.4511504;-0.3235112;0.4977418;0.6239169;0.5082533,0.3360007;0.898952;0.1671338;-0.002652347;-0.09193586;-0.6325924;0.7690045
