HEAD,HANDL,HANDR
0.1249532;1.721352;-0.004679427;0.05223689;0.1160006;-0.002679228;0.9918709,-0.05250184;1.19241;0.356994;-0.2990585;0.5697919;0.426747;0.6354433,0.3913671;1.222677;0.3267718;-0.3855261;-0.3949314;-0.3769045;0.7438694
0.1296355;1.721151;-0.003732413;0.05093354;0.1151929;-0.002134348;0.9920342,-0.04621141;1.208104;0.3598423;-0.3148303;0.5780822;0.4137318;0.6289107,0.3994834;1.234792;0.3317508;-0.3980841;-0.4015797;-0.3631813;0.7405149
0.1340268;1.720857;-0.003080428;0.04937638;0.1140815;-0.001658602;0.9922422,-0.04178967;1.222209;0.3666486;-0.3298005;0.5847225;0.4006201;0.6235662,0.4059865;1.247399;0.3371929;-0.4103705;-0.4092502;-0.3461069;0.7377807
0.1383752;1.720601;-0.002566516;0.04807574;0.1128839;-0.001078794;0.9924439,-0.04110543;1.228859;0.3731961;-0.3450631;0.5900733;0.3866264;0.619084,0.4120683;1.260091;0.3426391;-0.4229329;-0.418009;-0.3253256;0.7352275
0.1424328;1.720477;-0.002106518;0.0471519;0.1117101;-0.0004554382;0.9926215,-0.04092537;1.233314;0.3771332;-0.3555471;0.5928602;0.3767589;0.6165676,0.4193624;1.270986;0.347011;-0.4351242;-0.4269299;-0.3032451;0.7324209
0.1475655;1.720255;-0.001458049;0.04592545;0.1101139;0.0004871595;0.9928573,-0.03827086;1.24511;0.3834188;-0.3717703;0.5959705;0.3616568;0.6130339,0.4233748;1.279087;0.3500725;-0.4429113;-0.4326226;-0.2888994;0.7302086
0.1567399;1.719728;-0.0006297678;0.04340814;0.1065278;0.002340047;0.993359,-0.03117105;1.270333;0.3966122;-0.4045656;0.5993605;0.3337459;0.6047375,0.4347084;1.302884;0.360195;-0.4642842;-0.4474034;-0.2512519;0.7219022
0.1611361;1.719513;-0.0002501756;0.04237588;0.1047474;0.003215638;0.9935904,-0.02924616;1.277803;0.4008046;-0.414764;0.5998843;0.3256456;0.601718,0.4389329;1.310569;0.3621733;-0.4706784;-0.4521001;-0.2403044;0.718555
0.1659388;1.719378;0.0001154542;0.04159169;0.1027196;0.00412353;0.9938319,-0.02644037;1.2889;0.407227;-0.4294397;0.6005595;0.3137932;0.597029,0.4441676;1.322372;0.3663511;-0.4787849;-0.4591728;-0.2251159;0.7136163
0.1706101;1.719334;0.000474304;0.0409242;0.1005806;0.004683263;0.9940759,-0.02372606;1.299645;0.4133183;-0.4428786;0.6013986;0.3018612;0.5925016,0.4490213;1.334396;0.3709415;-0.4855656;-0.4670946;-0.2088837;0.7088133
0.1750613;1.719298;0.0008115917;0.04033539;0.09824401;0.004862196;0.9943327,-0.02101344;1.309958;0.4192638;-0.4550815;0.6023889;0.2886164;0.588837,0.4533659;1.345957;0.3754868;-0.4908391;-0.4753883;-0.191019;0.7046948
0.1799197;1.719268;0.001258507;0.03954221;0.09570856;0.004877851;0.9946117,-0.01905616;1.316746;0.4232425;-0.4630351;0.6030491;0.2782429;0.5869507,0.4592731;1.35534;0.3784733;-0.4952707;-0.4835605;-0.1712663;0.7011021
0.1857783;1.719217;0.00204657;0.03858197;0.09301294;0.004672033;0.9949061,-0.01803067;1.320051;0.4251589;-0.4669024;0.6033658;0.2726699;0.5861768,0.4620988;1.362441;0.3811663;-0.4979048;-0.4884999;-0.1577843;0.6989727
0.1908716;1.7192;0.00259915;0.03749691;0.09024604;0.004595825;0.9952028,-0.01375491;1.332116;0.4321418;-0.481317;0.6044974;0.2492253;0.583784,0.4668608;1.376489;0.387289;-0.5027612;-0.4960572;-0.1326547;0.6953857
