Time, User ID, Task, Event, Sucess, Tank A, Tank B, Tank C, Tank E, Pump A->B, Pump B->A, Pump C->A, Pump D->A, Pump D->C, Pump E->B, Pump F->B, Pump F->E, time spend in optimal range, ratio (%)
68.7, Dsktp_mai, RESMAN, Pump activated, True, 1795,1550,1430,1436,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,19.27,28.05
70.2, Dsktp_mai, RESMAN, Pump activated, True, 1790,1565,1430,1416,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,19.27,27.44
74.1, Dsktp_mai, RESMAN, Pump deactivated, True, 1829,1603,1379,1365,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Active: 10,Inactive,19.27,26.01
75.1, Dsktp_mai, RESMAN, Pump deactivated, True, 1839,1600,1365,1365,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,19.27,25.66
77.1, Dsktp_mai, RESMAN, Pump activated, True, 1832,1593,1365,1365,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Inactive,Active: 10,Inactive,19.27,25.00
77.9, Dsktp_mai, RESMAN, Pump activated, True, 1841,1591,1354,1365,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,19.27,24.73
85.1, [], RESMAN, Update, True, 1912,1662,1258,1269,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,19.27,22.65
95.1, [], RESMAN, Update, True, 2012,1762,1125,1136,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Inactive,19.27,20.27
95.7, Dsktp_mai, RESMAN, Pump activated, True, 2018,1768,1117,1128,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,19.27,20.14
100.0, [], RESMAN, Beginning of task, True, 2062,1812,1059,1114,Inactive,Inactive,Active: 13.33,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,19.27,19.27
105.8, Dsktp_mai, RESMAN, Pump activated, True, 2178,1928,904,1075,Inactive,Inactive,Active: 13.33,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,19.27,18.21
120.0, [], RESMAN, Update, True, 2462,2212,810,980,Inactive,Inactive,Active: 13.33,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,29.82,24.85
122.0, Dsktp_mai, RESMAN, Pump deactivated, True, 2502,2252,796,967,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,31.85,26.10
135.0, [], RESMAN, Update, True, 2416,2512,1056,880,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,44.83,33.20
140.1, [], RESMAN, End of task, True, 2382,2612,1156,847,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,49.84,35.57
140.1, [], RESMAN, Update, True, 2382,2613,1157,847,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,49.93,35.63
150.0, [], RESMAN, Beginning of task, True, 2349,2712,1256,814,Inactive,Inactive,Inactive,Active: 10,Active: 10,Active: 13.33,Active: 10,Active: 10,59.82,39.88
153.0, Dsktp_mai, RESMAN, Pump deactivated, True, 2329,2771,1316,794,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Active: 10,62.80,41.05
163.1, Dsktp_mai, RESMAN, Pump activated, True, 2262,2704,1517,996,Inactive,Active: 6.66,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Active: 10,72.90,44.70
168.5, Dsktp_mai, RESMAN, Pump deactivated, True, 2298,2597,1625,1103,Inactive,Active: 6.66,Inactive,Inactive,Active: 10,Inactive,Active: 10,Active: 10,78.26,46.46
172.9, Dsktp_mai, RESMAN, Pump activated, True, 2238,2508,1713,1192,Inactive,Active: 6.66,Active: 13.33,Inactive,Active: 10,Inactive,Active: 10,Active: 10,82.70,47.83
173.8, Dsktp_mai, RESMAN, Pump deactivated, True, 2250,2491,1707,1209,Inactive,Active: 6.66,Active: 13.33,Inactive,Inactive,Inactive,Active: 10,Active: 10,83.58,48.10
185.0, [], RESMAN, Update, True, 2400,2266,1408,1434,Inactive,Active: 6.66,Active: 13.33,Inactive,Inactive,Inactive,Active: 10,Active: 10,94.82,51.25
190.2, [], RESMAN, End of task, True, 2467,2165,1273,1535,Inactive,Active: 6.66,Active: 13.33,Inactive,Inactive,Inactive,Active: 10,Active: 10,99.87,52.52
190.2, [], RESMAN, Update, True, 2468,2164,1272,1536,Inactive,Active: 6.66,Active: 13.33,Inactive,Inactive,Inactive,Active: 10,Active: 10,99.96,52.57
200.0, [], RESMAN, Beginning of task, True, 2533,2066,1141,1635,Inactive,Active: 6.66,Active: 13.33,Inactive,Inactive,Inactive,Active: 10,Active: 10,109.82,54.91
203.8, Dsktp_mai, RESMAN, Pump activated, True, 2584,1990,1039,1711,Inactive,Active: 6.66,Active: 13.33,Inactive,Inactive,Active: 13.33,Active: 10,Active: 10,113.13,55.51
207.0, Dsktp_mai, RESMAN, Pump deactivated, True, 2626,2011,955,1690,Inactive,Active: 6.66,Inactive,Inactive,Inactive,Active: 13.33,Active: 10,Active: 10,114.76,55.44
207.6, Dsktp_mai, RESMAN, Pump activated, True, 2618,2015,955,1686,Inactive,Active: 6.66,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,115.37,55.58
223.9, Dsktp_mai, RESMAN, Pump deactivated, True, 2727,2124,955,1577,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,131.65,58.80
240.1, [], RESMAN, End of task, True, 2619,2448,955,1469,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,147.85,61.57
240.1, [], RESMAN, Update, True, 2619,2448,955,1469,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,147.89,61.59
250.0, [], RESMAN, Beginning of task, True, 2586,2548,955,1436,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,157.80,63.11
255.0, [], RESMAN, Update, True, 2552,2648,955,1403,Inactive,Inactive,Inactive,Active: 10,Inactive,Active: 13.33,Active: 10,Active: 10,162.80,63.84
256.9, Dsktp_mai, RESMAN, Pump deactivated, True, 2540,2685,955,1390,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Active: 10,164.67,64.10
259.6, Dsktp_mai, RESMAN, Pump activated, True, 2522,2667,955,1444,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Active: 10,167.37,64.47
270.0, [], RESMAN, Update, True, 2452,2597,1163,1653,Inactive,Inactive,Inactive,Active: 10,Active: 10,Inactive,Active: 10,Active: 10,177.81,65.85
280.1, Dsktp_mai, RESMAN, Pump deactivated, True, 2264,2530,1364,1854,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active: 10,Active: 10,187.86,67.07
280.1, Dsktp_mai, RESMAN, Pump activated, True, 2264,2530,1364,1854,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Active: 10,187.86,67.07
280.1, Dsktp_mai, RESMAN, Pump deactivated, True, 2264,2530,1364,1854,Inactive,Inactive,Inactive,Active: 10,Inactive,Inactive,Active: 10,Inactive,187.86,67.07
