HEAD,HANDL,HANDR
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.238485;-0.5386313;-0.3214963;0.741378
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384851;-0.5386311;-0.3214962;0.7413782
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384849;-0.5386313;-0.3214962;0.7413781
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384849;-0.5386313;-0.3214962;0.7413782
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384846;-0.5386314;-0.3214964;0.7413781
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384845;-0.5386315;-0.3214962;0.7413782
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728169;0.9401979;1.016039;-0.2384847;-0.5386313;-0.3214961;0.7413782
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384844;-0.5386314;-0.3214961;0.7413782
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384843;-0.5386314;-0.3214961;0.7413784
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384841;-0.5386315;-0.3214962;0.7413782
