Time (s),Event type,Data
519.577,Task Missed,RESMAN
520.644,Task Assigned,Op1: COMM
522.211,Task Missed,RESMAN
523.383,Task Assigned,Op5: TRACK
530.817,Task Assigned,Op3: COMM
531.643,Task Assigned,Op3: SYSMON
535.100,Task Assigned,Op1: TRACK
539.165,Task Assigned,Op2: RESMAN
542.260,Task Assigned,Op4: RESMAN
548.082,Task Assigned,Op5: RESMAN
551.259,Task Assigned,Op0: RESMAN
552.491,Task Missed,TRACK
559.980,Task Assigned,Op1: COMM
563.430,Task Assigned,Op0: RESMAN
564.316,Task Missed,TRACK
569.267,Task Assigned,Op5: COMM
571.599,Task Assigned,Op5: TRACK
594.433,Task Assigned,Op4: RESMAN
597.012,Task Assigned,Op2: TRACK
603.764,Task Assigned,Op3: TRACK
614.122,Task Assigned,Op0: SYSMON
End of Trial
